([(0, 17, 0.320221216797216), (1, 17, 0.18966316476454434), (2, 13, 0.15937249047390378), (3, 17, 0.15141158007487687), (4, 17, 0.4576549729636423), (5, 17, 0.2665554341243236)], 1.5448788591985068)
([(0, 12, 0.2193821821689085), (1, 12, 0.13554128490656356), (2, 6, 1.1117368542302697), (3, 12, 0.29570244916607796), (4, 12, 0.27208117040150265), (5, 12, 0.4454841194662057)], 2.479928060339528)
([(0, 12, 0.2148966710891476), (1, 12, 0.39693229100736827), (2, 11, 0.43930119561907943), (3, 12, 0.2310606739566865), (4, 12, 0.3274826985951686), (5, 12, 0.46047075091524586)], 2.070144281182696)
([(0, 12, 0.4064660329111853), (1, 12, 0.30435177614786085), (2, 7, 0.7977057632590466), (3, 12, 0.2508200105804694), (4, 12, 0.38428572630663727), (5, 12, 0.3620820053659291)], 2.5057113145711285)
([(0, 15, 0.36238374688927105), (1, 15, 0.38533511255413255), (2, 9, 0.5962082217955841), (3, 15, 0.4312200827116676), (4, 15, 0.25044055211843747), (5, 15, 0.3035468621365819)], 2.329134578205675)
([(0, 14, 0.1455962579191918), (1, 14, 0.34579710819911585), (2, 8, 0.18295294188129246), (3, 14, 0.23984964433363434), (4, 14, 0.4111459953035608), (5, 14, 0.35937486033416954)], 1.6847168079709647)
([(0, 12, 0.43953170730037927), (1, 12, 0.13550117467812947), (2, 11, 0.2532289562860538), (3, 12, 0.20487295962189345), (4, 12, 0.3829996665536817), (5, 12, 0.6436469747473965)], 2.0597814391875344)
([(0, 25, 0.295536285156685), (1, 25, 0.15385535675952322), (2, 9, 0.39133115250523653), (3, 25, 0.181893085641202), (4, 25, 0.12139653324671809), (5, 25, 0.15343369164653006)], 1.297446104955895)
([(0, 10, 0.2775264302310102), (1, 10, 0.534592538567403), (2, 9, 0.12972673502883286), (3, 10, 0.32350050255087726), (4, 10, 0.1489790485480284), (5, 10, 0.38788575359341965)], 1.8022110085195715)
([(0, 33, 0.25187747374754504), (1, 33, 0.19635104608140694), (2, 9, 0.4191230459189683), (3, 33, 0.1179647321490071), (4, 33, 0.21395786799500727), (5, 33, 0.11950906934035097)], 1.3187832352322857)
([(0, 12, 0.5136334639357529), (1, 12, 0.21765273569246524), (2, 6, 0.3169740101908286), (3, 12, 0.40281383474473387), (4, 12, 0.13474758584418992), (5, 12, 0.15163887214525612)], 1.7374605025532268)
([(0, 10, 0.3781586780376289), (1, 10, 0.14593896622749625), (2, 9, 0.26703797386955225), (3, 10, 0.3135380357662323), (4, 10, 0.16672484352411696), (5, 10, 0.4047748236638677)], 1.6761733210888943)
([(0, 32, 0.20880942356034482), (1, 32, 0.17794883186301527), (2, 7, 0.4767758434441444), (3, 32, 0.2570948759727934), (4, 32, 0.12566612122325946), (5, 32, 0.1434486314854697)], 1.389743727549027)
([(0, 7, 0.10324949500051478), (1, 7, 0.29780921330206195), (2, 6, 0.4190414541845822), (3, 7, 0.49772560813593525), (4, 7, 0.4770676356577039), (5, 7, 0.29713450824777515)], 2.092027914528573)
([(0, 15, 0.23588705748217176), (1, 15, 0.44879478209449725), (2, 14, 0.3188281068988331), (3, 15, 0.4079188194456534), (4, 15, 0.4890539886045358), (5, 15, 0.18754756580552487)], 2.088030320331216)
([(0, 35, 0.15467970688913663), (1, 35, 0.3108978912190706), (2, 10, 0.21900391819099785), (3, 35, 0.4501570791393034), (4, 35, 0.3129142028128909), (5, 35, 0.17778309821307267)], 1.625435896464472)
([(0, 11, 0.30387923406419914), (1, 11, 0.22190432920204736), (2, 10, 0.5554078766119711), (3, 11, 0.47642682995325), (4, 11, 0.12853297757347726), (5, 11, 0.10372759991326679)], 1.7898788473182115)
([(0, 15, 0.2667562388323033), (1, 15, 0.15675950949772025), (2, 14, 0.534583911887414), (3, 15, 0.39852809393410976), (4, 15, 0.17743082382321865), (5, 15, 0.3528163769701182)], 1.8868749549448844)
([(0, 28, 0.19092739596700653), (1, 28, 0.14904352423120112), (2, 7, 0.43490609557062504), (3, 28, 0.15927955369092667), (4, 28, 0.31063327611764835), (5, 28, 0.4069519220678848)], 1.6517417676452923)
([(0, 24, 0.12735235917317872), (1, 24, 0.19638052354044896), (2, 8, 0.6726529392248042), (3, 24, 0.15940938868896265), (4, 24, 0.15124844177400823), (5, 24, 0.2892159492002181)], 1.5962596016016208)
([(0, 11, 0.30612363197360437), (1, 11, 0.22214122245329754), (2, 10, 0.5144793761198011), (3, 11, 0.6294627295475088), (4, 10, 0.6327556088377088), (5, 11, 0.3869021969479458)], 2.691864765879866)
