([(0, 93, 0.15932950295449144), (1, 23, 0.28634750430756867), (2, 27, 0.16948329528597805), (3, 375, 0.0950128571562271), (4, 62, 0.1171274121737441), (5, 39, 0.19064064355013222)], 1.0179412154281415)
([(0, 108, 0.23520294382487023), (1, 116, 0.10163601470396333), (2, 176, 0.11331493539421154), (3, 108, 0.14430260263870315), (4, 162, 0.1390418175732289), (5, 161, 0.10395405423346783)], 0.8374523683684449)
([(0, 8, 0.4434035271104748), (1, 12, 0.4713820401032978), (2, 8, 0.19238399958625468), (3, 8, 0.4175574567576485), (4, 482, 0.1245828388549072), (5, 7, 0.40147059517573963)], 2.050780457588323)
([(0, 55, 0.0984000927514781), (1, 44, 0.23361580745240632), (2, 41, 0.3155512203885422), (3, 112, 0.1236733064443799), (4, 327, 0.10880530443718935), (5, 88, 0.19619138738783315)], 1.0762371188618292)
([(0, 113, 0.11694141457516842), (1, 138, 0.18705015973224137), (2, 113, 0.09727602033200998), (3, 146, 0.09342706539718312), (4, 180, 0.13665739887272074), (5, 148, 0.11306430219885434)], 0.744416361108178)
([(0, 81, 0.2257347830774715), (1, 240, 0.11110348500275563), (2, 108, 0.14298525756010524), (3, 142, 0.13823778583353616), (4, 99, 0.11370776636973486), (5, 84, 0.12733763388462788)], 0.8591067117282314)
([(0, 64, 0.18530894038684856), (1, 312, 0.10745691874473075), (2, 86, 0.14876534661353916), (3, 72, 0.1786305393736797), (4, 89, 0.12431475306257021), (5, 83, 0.14354313048774164)], 0.88801962866911)
([(0, 103, 0.11797464087259817), (1, 131, 0.08261853158782978), (2, 161, 0.10622709259327316), (3, 111, 0.11675753912811343), (4, 105, 0.1075210967268995), (5, 191, 0.14877438794736675)], 0.6798732888560808)
([(0, 111, 0.11515039799783128), (1, 130, 0.16900379899163745), (2, 115, 0.1600290372671813), (3, 140, 0.14114057863158688), (4, 122, 0.0808962242379575), (5, 197, 0.06675517488606883)], 0.7329752120122633)
([(0, 107, 0.19933472324355933), (1, 131, 0.07684163650088904), (2, 115, 0.11070314242354608), (3, 131, 0.09827996363002184), (4, 179, 0.13529629171413732), (5, 154, 0.08619350033885442)], 0.7066492578510081)
([(0, 439, 0.10087517716517491), (1, 15, 0.22952598666963803), (2, 15, 0.25206222411366547), (3, 17, 0.24309800881474758), (4, 22, 0.3396565285375564), (5, 26, 0.3837288850132186)], 1.548946810314001)
([(0, 1, 0.6895795690990096), (1, 1, 0.39950173325375826), (2, 1, 0.04543886192844026), (3, 1, 0.23096159116315465), (4, 511, 0.0614958372982169), (5, 1, 0.4085006212469033)], 1.835478213989483)
([(0, 85, 0.23187218830540618), (1, 184, 0.06962776298553622), (2, 125, 0.08037168870411507), (3, 100, 0.1111125068844689), (4, 199, 0.09599441606543647), (5, 103, 0.23532770430448025)], 0.8243062672494431)
([(0, 79, 0.16563785668362144), (1, 74, 0.1284280316937919), (2, 272, 0.12006812644426533), (3, 80, 0.08152841058487954), (4, 86, 0.11431509172633748), (5, 124, 0.17353814480519963)], 0.7835156619380954)
([(0, 69, 0.3387123517336496), (1, 60, 0.09964825677106022), (2, 53, 0.2117100221758692), (3, 272, 0.08741109188788382), (4, 117, 0.1927900209837812), (5, 151, 0.14108209982778486)], 1.071353843380029)
([(0, 141, 0.21082825033118874), (1, 126, 0.18790673285038137), (2, 147, 0.14152638212877586), (3, 126, 0.07923229747470428), (4, 145, 0.20148514135893772), (5, 147, 0.11010575350916603)], 0.931084557653154)
([(0, 63, 0.24927045590890548), (1, 64, 0.0952771766974867), (2, 74, 0.23613453508104842), (3, 97, 0.185258088093449), (4, 225, 0.08339260874642582), (5, 240, 0.09558737416685355)], 0.9449202386941691)
([(0, 150, 0.18759624142500092), (1, 117, 0.10335066262100921), (2, 110, 0.14958621167033354), (3, 171, 0.1334155497682029), (4, 126, 0.07727278359104475), (5, 171, 0.06899431737572245)], 0.7202157664513138)
([(0, 355, 0.09900241699046673), (1, 46, 0.10425822985078245), (2, 44, 0.07943540040729748), (3, 81, 0.13973213467632808), (4, 62, 0.19722153644092338), (5, 72, 0.11276156944095968)], 0.7324112878067578)
([(0, 129, 0.11625427488404173), (1, 90, 0.19922556307818473), (2, 187, 0.10615804459093642), (3, 180, 0.1616866345617872), (4, 97, 0.14917227863831548), (5, 105, 0.1591755291603459)], 0.8916723249136115)
([(0, 63, 0.10079856484198846), (1, 76, 0.14803493370478646), (2, 76, 0.1745392003392988), (3, 86, 0.1339506061461839), (4, 96, 0.10273027655233398), (5, 300, 0.0976229023901688)], 0.7576764839747604)
