([(0, 96, 0.18319096205343294), (1, 33, 0.13444709485065), (2, 34, 0.2832808700861227), (3, 362, 0.08143920927001504), (4, 68, 0.1238776953915865), (5, 44, 0.19254392836856338)], 0.9987797600203706)
([(0, 115, 0.21787007544885054), (1, 113, 0.09369037118433397), (2, 168, 0.12755004969519199), (3, 121, 0.0912567319489139), (4, 160, 0.14586778935482378), (5, 161, 0.09515517593591005)], 0.7713901935680243)
([(0, 7, 0.4946147298333282), (1, 12, 0.4713820401032978), (2, 5, 0.3611900058374249), (3, 3, 0.5778492065485141), (4, 486, 0.13110831211929835), (5, 5, 0.5463304611828873)], 2.5824747556247507)
([(0, 42, 0.1630772633881405), (1, 29, 0.21506156546168945), (2, 30, 0.31789116164804965), (3, 79, 0.12012018417346594), (4, 229, 0.11197743855853087), (5, 285, 0.05678457367711819)], 0.9849121869069946)
([(0, 109, 0.11152006339103919), (1, 144, 0.18370871651045678), (2, 109, 0.07268907949447001), (3, 150, 0.10159252341922202), (4, 177, 0.14594624855488697), (5, 151, 0.1193084828104215)], 0.7347651141804965)
([(0, 92, 0.24892505564284473), (1, 226, 0.10871701621804694), (2, 116, 0.1779729308282864), (3, 120, 0.08040940382127763), (4, 101, 0.13582068985171608), (5, 115, 0.11918157724122067)], 0.8710266736033926)
([(0, 75, 0.18275538519569948), (1, 305, 0.10681619148047136), (2, 74, 0.12854876249043712), (3, 70, 0.11987339009956198), (4, 92, 0.1872838161185483), (5, 97, 0.13711328547062035)], 0.8623908308553385)
([(0, 112, 0.11215701218738716), (1, 128, 0.11249543855080485), (2, 159, 0.09827464135574616), (3, 107, 0.1191907515514734), (4, 121, 0.06886802277931503), (5, 179, 0.16912725133986206)], 0.6801131177645887)
([(0, 115, 0.14806020127332026), (1, 114, 0.19861930514190596), (2, 125, 0.07826354566909635), (3, 151, 0.14603367249902824), (4, 113, 0.10632818236786615), (5, 197, 0.06675517488606883)], 0.7440600818372858)
([(0, 111, 0.14225529950565563), (1, 137, 0.13537938021285684), (2, 121, 0.09709386657162808), (3, 133, 0.1398253978415343), (4, 171, 0.1387858389311655), (5, 152, 0.11403200506585945)], 0.7673717881286998)
([(0, 427, 0.09855504302828691), (1, 34, 0.2087892644812039), (2, 22, 0.13391819665166166), (3, 26, 0.12818306232085114), (4, 19, 0.2590813175884075), (5, 20, 0.22196463085752627)], 1.0504915149279375)
0 [-0.89438590030634124]
([(0, 91, 0.10456894362601518), (1, 177, 0.06460535081303054), (2, 134, 0.07025425605518586), (3, 114, 0.130960962045387), (4, 199, 0.10310562335108567), (5, 85, 0.23454236743629037)], 0.7080375033269946)
([(0, 77, 0.1387907985747829), (1, 82, 0.12988657847305723), (2, 249, 0.12286692650153355), (3, 93, 0.19309793467282574), (4, 98, 0.15799971843589594), (5, 129, 0.16038663497953967)], 0.9030285916376349)
0 [-0.25261533646177753]
([(0, 130, 0.14707080774262934), (1, 148, 0.15197383221650362), (2, 133, 0.17114773453044407), (3, 163, 0.06782989613850131), (4, 136, 0.19201915278799603), (5, 134, 0.11966932051022357)], 0.849710743926298)
([(0, 75, 0.1977367818421159), (1, 83, 0.09672717740697874), (2, 87, 0.25635344184938874), (3, 73, 0.17893622817103058), (4, 220, 0.08217704722093304), (5, 227, 0.10541559149562053)], 0.9173462679860676)
([(0, 151, 0.2034156476004955), (1, 119, 0.11639228489146135), (2, 117, 0.13946522373883358), (3, 171, 0.12884491940553267), (4, 122, 0.07876228069895119), (5, 167, 0.06081428700188197)], 0.7276946433371563)
([(0, 331, 0.09478484704073395), (1, 63, 0.11616383089472807), (2, 122, 0.08404967675373963), (3, 67, 0.10141719360963015), (4, 62, 0.1431921473882491), (5, 42, 0.3592777180390045)], 0.8988854137260853)
([(0, 133, 0.1584805006686179), (1, 99, 0.2452572404111512), (2, 183, 0.10803949465984879), (3, 177, 0.11914313550971749), (4, 101, 0.10353180787150233), (5, 103, 0.25666229897684917)], 0.9911144780976868)
([(0, 70, 0.28486543202620096), (1, 87, 0.1434225544099489), (2, 76, 0.2798373957748383), (3, 84, 0.1444524778357915), (4, 98, 0.1079710468405298), (5, 289, 0.08817379627448595)], 1.0487227031617954)
