([(0, 92, 0.1391834168708626), (1, 25, 0.1487210021528019), (2, 25, 0.2701086841443526), (3, 375, 0.0950128571562271), (4, 63, 0.1988095548873455), (5, 38, 0.07260326123719103)], 0.9244387764487808)
([(0, 107, 0.2623471947580029), (1, 114, 0.12685015890126025), (2, 173, 0.12200743189482069), (3, 105, 0.15026309120096862), (4, 160, 0.14648607646649364), (5, 176, 0.019295041273635717)], 0.8272489944951817)
([(0, 8, 0.4434035271104748), (1, 12, 0.4713820401032978), (2, 8, 0.19238399958625468), (3, 8, 0.4175574567576485), (4, 482, 0.1245828388549072), (5, 7, 0.06718464413557564)], 1.7164945065481587)
([(0, 49, 0.1332165017938634), (1, 42, 0.21457101538754533), (2, 41, 0.27662118105214045), (3, 113, 0.1493017485963377), (4, 328, 0.10680019809151121), (5, 91, 0.0166734692066769)], 0.8971841141280751)
([(0, 112, 0.11444399484458077), (1, 136, 0.18209218609308161), (2, 111, 0.07391808610127466), (3, 144, 0.10048223475997635), (4, 180, 0.13665739887272074), (5, 154, 0.018051934770428744)], 0.6256458354420629)
([(0, 80, 0.17645798150744021), (1, 234, 0.1148358575334687), (2, 108, 0.1630438602765407), (3, 142, 0.14246847362711484), (4, 100, 0.15367367762425418), (5, 95, 0.008864524319926194)], 0.7593443748887448)
([(0, 63, 0.13054441092633898), (1, 307, 0.10359129722746407), (2, 85, 0.1179805664214191), (3, 74, 0.10104626410810037), (4, 88, 0.09154077666647664), (5, 94, 0.03349953094252986)], 0.578202846292329)
([(0, 103, 0.11486990387595283), (1, 112, 0.1212373545103794), (2, 162, 0.10128341009525693), (3, 109, 0.12172928247414888), (4, 104, 0.13125269660200337), (5, 200, 0.048736995295373474)], 0.6391096428531149)
([(0, 109, 0.10796359151417394), (1, 122, 0.19120442342775096), (2, 109, 0.10210077036546168), (3, 138, 0.11544161881867492), (4, 121, 0.12283306288781795), (5, 207, 0.018075973824065665)], 0.6576194408379451)
([(0, 107, 0.1669773590157934), (1, 133, 0.049209467672510054), (2, 113, 0.09023354324173943), (3, 128, 0.11798869404431853), (4, 176, 0.12797114959332934), (5, 162, 0.039823302643783684)], 0.5922035162114744)
([(0, 437, 0.09925874426998667), (1, 24, 0.22822243147601914), (2, 17, 0.1222646473108258), (3, 16, 0.4407184287584083), (4, 16, 0.22630316162670952), (5, 25, 0.1261593694570762)], 1.2429267828990256)
([(0, 1, 0.6895795690990096), (1, 1, 0.39950173325375826), (2, 1, 0.04543886192844026), (3, 1, 0.23096159116315465), (4, 511, 0.0614958372982169), (5, 1, 0.2789793685188255)], 1.7059569612614052)
([(0, 87, 0.1586973521691722), (1, 187, 0.07879880171800839), (2, 128, 0.06960008570630763), (3, 106, 0.09590586638446578), (4, 204, 0.08991553076591816), (5, 80, 0.059606564850992694)], 0.5525242015948648)
([(0, 78, 0.1202196593165347), (1, 83, 0.2340574615753633), (2, 272, 0.12006812644426533), (3, 80, 0.17714185233763394), (4, 68, 0.08681040406813646), (5, 133, 0.027455727609890405)], 0.7657532313518242)
([(0, 58, 0.3523820440479662), (1, 65, 0.15074438609328533), (2, 61, 0.24405424748014629), (3, 269, 0.08495599727055361), (4, 115, 0.24071317449137014), (5, 157, 0.046608305432013504)], 1.1194581548153348)
([(0, 134, 0.1911291467478808), (1, 134, 0.15269526975130868), (2, 145, 0.15806204301980778), (3, 120, 0.07393765829130779), (4, 145, 0.20148514135893772), (5, 154, 0.01935761153333559)], 0.7966668707025784)
([(0, 61, 0.28851906014466094), (1, 68, 0.23241939836957554), (2, 73, 0.20669554635730003), (3, 99, 0.11781276735151779), (4, 221, 0.0760853235614304), (5, 243, 0.013205179286826272)], 0.934737275071311)
([(0, 146, 0.1990773544309164), (1, 114, 0.17066076031640506), (2, 109, 0.16364925645271952), (3, 173, 0.144329834438734), (4, 126, 0.09832066433415752), (5, 173, 0.016600128204947637)], 0.7926379981778802)
([(0, 296, 0.09582127055625143), (1, 36, 0.19100978392560145), (2, 30, 0.13138741486507288), (3, 76, 0.14240515904281925), (4, 31, 0.31548942183569445), (5, 254, 0.019884500924303484)], 0.895997551149743)
([(0, 128, 0.12937094287756237), (1, 90, 0.3258411842829177), (2, 189, 0.10002650037104341), (3, 180, 0.15864658513513175), (4, 100, 0.12258201515290368), (5, 100, 0.06899956338570935)], 0.9054667912052683)
([(0, 67, 0.14074557704732327), (1, 87, 0.11081153408859505), (2, 77, 0.18819032549748366), (3, 65, 0.14147869609648248), (4, 88, 0.14039057173804215), (5, 307, 0.025385260403100504)], 0.7470019648710271)
