([(0, 17, 0.1933599264798145), (1, 16, 0.23892189683623555), (2, 16, 0.18942033889892937), (3, 16, 0.30366291782796473), (4, 16, 0.1828705511346649), (5, 16, 0.014829436906257801)], 1.123065068083867)
([(0, 16, 0.3091468160756864), (1, 17, 0.4693820865300372), (2, 16, 0.17360268413806776), (3, 16, 0.40575823794813165), (4, 16, 0.2705554568216723), (5, 16, 0.027349113491493483)], 1.6557943950050888)
([(0, 16, 0.17830576658732109), (1, 16, 0.3612515279257491), (2, 16, 0.2702254491192309), (3, 17, 0.39585215260771167), (4, 16, 0.19890336548958276), (5, 16, 0.13689683954110146)], 1.5414351012706968)
([(0, 16, 0.4112654994343381), (1, 16, 0.3234179110461517), (2, 16, 0.41260345561506256), (3, 16, 0.1489603361732722), (4, 16, 0.2071355807124221), (5, 17, 0.005075089136742187)], 1.5084578721179889)
([(0, 16, 0.3148675458767104), (1, 17, 0.4915328137407852), (2, 16, 0.2854095168948058), (3, 16, 0.08826265000460591), (4, 16, 0.433258323070489), (5, 16, 0.06151382532485095)], 1.6748446749122474)
([(0, 16, 0.4016048251192782), (1, 16, 0.39076330316029645), (2, 17, 0.31674846951863234), (3, 16, 0.43111648282393317), (4, 16, 0.4593511193333205), (5, 16, 0.031834266860392625)], 2.0314184668158535)
([(0, 16, 0.16649652612869095), (1, 17, 0.1166662881781554), (2, 16, 0.19922602282808952), (3, 16, 0.5561418801555764), (4, 16, 0.5011672499858356), (5, 16, 0.1229833014839317)], 1.6626812687602794)
([(0, 16, 0.2674254134817072), (1, 16, 0.1981360185358595), (2, 16, 0.1553498412149015), (3, 16, 0.2760416718336423), (4, 16, 0.3556263650002341), (5, 16, 0.01346945435878291)], 1.2660487644251275)
([(0, 16, 0.29268163062076363), (1, 17, 0.37847213382278266), (2, 16, 0.21677167255136326), (3, 16, 0.2400963265926219), (4, 16, 0.10700088100350545), (5, 17, 0.05540209989158393)], 1.290424744482621)
([(0, 16, 0.4711131082591085), (1, 16, 0.24484720010227534), (2, 17, 0.17835217458641958), (3, 16, 0.4197907456279979), (4, 16, 0.4374193914612243), (5, 16, 0.1142732837901942)], 1.86579590382722)
([(0, 17, 0.17232385586448204), (1, 16, 0.21645170897878857), (2, 16, 0.5784312383538696), (3, 16, 0.37919334643184976), (4, 16, 0.1586909736069617), (5, 16, 0.009669414459456306)], 1.5147605376954079)
([(0, 16, 0.4146103580231759), (1, 16, 0.17235559068049888), (2, 16, 0.18980771092495693), (3, 16, 0.2526630944984238), (4, 16, 0.21468088976357563), (5, 17, 0.04715239286814895)], 1.2912700367587802)
([(0, 16, 0.4219105705387753), (1, 16, 0.2709150922647574), (2, 16, 0.2913654340638949), (3, 16, 0.09062254474787977), (4, 16, 0.34313932064546604), (5, 16, 0.03641255093093622)], 1.4543655131917097)
([(0, 16, 0.4770766292608356), (1, 16, 0.22831519610543244), (2, 16, 0.23152301931576585), (3, 16, 0.14916083451337106), (4, 16, 0.19489680781127844), (5, 16, 0.0856055960413252)], 1.3665780830480085)
([(0, 16, 0.15730247711954268), (1, 16, 0.32323490655077386), (2, 16, 0.26336501791495104), (3, 16, 0.20732446661941265), (4, 16, 0.17025120440898614), (5, 17, 0.03522948064447769)], 1.1567075532581441)
([(0, 17, 0.11285650627870977), (1, 16, 0.49039084414378364), (2, 16, 0.32275150472642566), (3, 16, 0.2889376142362733), (4, 16, 0.29924805640762514), (5, 16, 0.04117874505262309)], 1.5553632708454406)
([(0, 16, 0.25856854618451885), (1, 16, 0.19852052096201753), (2, 16, 0.41532614117165784), (3, 16, 0.5219989585192776), (4, 16, 0.49315636452242867), (5, 16, 0.012623704553938716)], 1.900194235913839)
([(0, 16, 0.39253029414333107), (1, 16, 0.1337913913007746), (2, 16, 0.13238545850025668), (3, 17, 0.4320717242864357), (4, 16, 0.12985654854959336), (5, 16, 0.03987350954224313)], 1.2605089263226346)
([(0, 16, 0.10625420723317613), (1, 16, 0.23453028267783627), (2, 16, 0.2880291289676063), (3, 16, 0.21928908623965013), (4, 16, 0.2575756763821276), (5, 16, 0.03967737726291031)], 1.1453557587633065)
([(0, 16, 0.19167801742087914), (1, 16, 0.4789784628690786), (2, 16, 0.3485979929448349), (3, 16, 0.24353476072521243), (4, 16, 0.12095967454350144), (5, 16, 0.024587332391221805)], 1.4083362408947284)
([(0, 16, 0.37159215738060286), (1, 16, 0.27390237820199775), (2, 16, 0.23063118699638144), (3, 16, 0.5735456987048528), (4, 16, 0.27502791223862705), (5, 16, 0.027504773723524327)], 1.7522041072459862)
