uniform, foraging
0.7378142179178678,0.558530317223004
0.8905106238691444,0.5594292166239399
0.9375921479451534,0.43479330351092055
1.0813381228124863,0.395161751258979
1.1107699091451695,0.5797937756697777
0.7778943200958957,0.3842637502151112
0.7526270944584499,0.5168049116390623
0.6898259547322986,0.3049564806355815
0.666255726547373,0.3090087652706568
0.8643023594539505,0.6327367255359283
0.8234801563651679,0.4657996971815392
0.7556940343126319,0.4019289661076721
0.6897525076176356,0.3638761006087117
0.8766429298251687,0.32306250326224617
0.7573100443772329,0.4612101116831742
0.9067960712957018,2.0517328618445845
1.0269064695059942,0.5216759411328665
0.6675871690861306,0.4062354339425681
0.7535646038992484,0.5033339862792274
0.6881878380528043,0.4053187346596944
0.7652735695136365,0.45335385321498384
