0.001 0.8210 0.0283 0.4104 0.0165
0.01 0.8231 0.0282 0.4371 0.0254
0.1 0.8200 0.0283 0.5655 0.0275
1.0 0.8577 0.0357 0.8211 0.0281
2.0 0.9195 0.0430 1.0401 0.0419
5.0 1.1323 0.0390 1.5241 0.0824
8.0 1.3346 0.0558 1.9718 0.0968
10.0 1.4011 0.0590 2.2842 0.1005
20.0 1.9526 0.0801 2.8093 0.1666
50.0 2.8842 0.0909 3.6180 0.1352
80.0 3.6180 0.1461 4.0899 0.1149
100.0 4.0474 0.1312 4.3241 0.1134
120.0 4.2389 0.1847 4.4686 0.1279
150.0 4.5632 0.2044 4.6427 0.1531
