([(0, 1, 0.334866869778332), (1, 5, 0.42297090504156387), (2, 1, 0.0012006816104400096), (3, 1, 0.29355892796151883), (4, 4, 0.45015628251815254), (5, 930, 0.06404039426249618)], 1.5667940611725035)
([(0, 1, 0.7236926507850354), (1, 1, 1.3093326548168716), (2, 3, 0.1898009866316522), (3, 2, 0.4440232894898079), (4, 1, 0.1259221918268723), (5, 1052, 0.060690314305743384)], 2.8534620878559824)
([(0, 2, 0.3938729580730958), (1, 3, 0.4293444950586485), (2, 4, 0.7516896049622768), (3, 4, 0.7344148598123874), (4, 1, 0.27620938699854775), (5, 1016, 0.06202249980461684)], 2.647553804709573)
([(0, 1037, 0.03883231401361172), (1, 979, 0.05753792503587275), (2, 1021, 0.10361440719984358), (3, 947, 0.06762218537927182), (4, 994, 0.03699256476292954), (5, 1016, 0.03654972012895771)], 0.3411491165204872)
([(0, 3, 0.6206824622426264), (1, 2, 1.3289160808997587), (2, 1, 0.9699071596367478), (3, 2, 0.9794956987354828), (4, 1, 0.6126324436538979), (5, 998, 0.054269387394634445)], 4.565903232563148)
([(0, 7, 0.287489826799587), (1, 3, 1.2047510459397952), (2, 3, 0.4774420591602513), (3, 2, 0.24870894244417752), (4, 5, 0.27893509612899514), (5, 958, 0.05807551169874387)], 2.55540248217155)
([(0, 3, 0.880286483177955), (1, 2, 1.6468692617929177), (2, 1, 1.2162108396069158), (3, 1, 0.6561254372434806), (4, 1, 0.0729602080467973), (5, 1009, 0.06544302421865875)], 4.537895254086725)
([(0, 1032, 0.05553883524078366), (1, 987, 0.061088071635726736), (2, 1020, 0.040965695212312955), (3, 995, 0.03701332427647425), (4, 994, 0.039562641150227854), (5, 1010, 0.06810459392200642)], 0.30227316143753186)
([(0, 1, 0.24313997970151646), (1, 3, 0.7135948374660643), (2, 2, 0.5297451622511955), (3, 2, 0.9126243340210947), (4, 1, 1.230111375843477), (5, 1035, 0.047359043823979104)], 3.6765747331073273)
([(0, 8, 0.3736094085497081), (1, 1, 1.139123134794619), (2, 4, 0.4557849202954063), (3, 1, 0.9453740903894017), (4, 1, 0.11215674014824865), (5, 977, 0.06626804606243773)], 3.0923163402398215)
([(0, 4, 0.18511982575556618), (1, 2, 1.086247973685343), (2, 5, 0.19751662720529664), (3, 3, 0.447865061534959), (4, 1, 0.10923269785527784), (5, 1001, 0.05749430613688617)], 2.083476492173329)
([(0, 1, 0.6895795690990096), (1, 1, 0.39950173325375826), (2, 1, 0.04543886192844026), (3, 1, 0.23096159116315465), (4, 1037, 0.08367645384689919), (5, 1, 0.9999987673155555)], 2.4491569766068175)
([(0, 6, 0.3068070197365556), (1, 8, 0.16750346565383736), (2, 5, 0.5612046708356336), (3, 7, 0.5578517128812365), (4, 4, 0.23854584928821587), (5, 1052, 0.06077117357404265)], 1.8926838919695217)
([(0, 8, 0.1409907211639769), (1, 8, 0.37270599600323234), (2, 1, 0.9119743077233083), (3, 5, 0.44125926430011614), (4, 5, 0.4051413213011767), (5, 983, 0.10140784713347176)], 2.3734794576252822)
([(0, 990, 0.0514092386631584), (1, 993, 0.05981711529713146), (2, 1017, 0.02748947053013641), (3, 977, 0.0678116627476412), (4, 986, 0.07625855781461713), (5, 965, 0.050225045477867415)], 0.333011090530552)
([(0, 7, 0.13993592864821394), (1, 6, 0.33624388360107516), (2, 2, 0.27933544229663165), (3, 1, 0.36322767778564785), (4, 1, 1.1261395280954194), (5, 994, 0.06051670428432352)], 2.3053991647113112)
([(0, 970, 0.06781745436804966), (1, 982, 0.052184017848195506), (2, 1015, 0.0632251140626348), (3, 981, 0.07600210740569294), (4, 949, 0.06088186340135546), (5, 995, 0.05547721555662459)], 0.375587772642553)
([(0, 1011, 0.0796847368279774), (1, 930, 0.048947580735545254), (2, 1015, 0.08381072463832667), (3, 1051, 0.0354345065818219), (4, 983, 0.0834739784943787), (5, 1049, 0.027697143939807274)], 0.3590486712178572)
([(0, 994, 0.07204609446013481), (1, 975, 0.05853730315188213), (2, 942, 0.044587683583176635), (3, 1039, 0.0882055726739713), (4, 1002, 0.0854050835674789), (5, 982, 0.05309973969217843)], 0.40188147712882216)
([(0, 5, 0.5255525721921025), (1, 3, 0.45065619928234946), (2, 3, 0.40084716577806306), (3, 5, 0.3443647659007428), (4, 1, 0.4125388811137907), (5, 980, 0.05298461913234165)], 2.18694420339939)
([(0, 1, 1.4989899344641404), (1, 1, 0.7120333238554579), (2, 2, 0.19180974381687071), (3, 4, 0.3329775223989735), (4, 4, 0.41926674265311853), (5, 1009, 0.06938161774875962)], 3.224458884937321)
